Common Name,Alpha Code
Alder Flycatcher,ALFL
American Bittern,AMBI
American Black Duck,ABDU
American Crow,AMCR
American Goldfinch,AMGO
American Goshawk,AGOS
American Herring Gull,AHGU
American Kestrel,AMKE
American Redstart,AMRE
American Robin,AMRO
American Wigeon,AMWI
Bald Eagle,BAEA
Bank Swallow,BANS
Barn Swallow,BARS
Bay-breasted Warbler,BBWA
Belted Kingfisher,BEKI
Black-and-white Warbler,BAWW
Black-capped Chickadee,BCCH
Black-throated Blue Warbler,BTBW
Black-throated Green Warbler,BTNW
Blackburnian Warbler,BLBW
Blue Jay,BLJA
Blue-headed Vireo,BHVI
Blue-winged Teal,BWTE
Bobolink,BOBO
Brown Creeper,BRCR
Canada Goose,CAGO
Canada Jay,CAJA
Cape May Warbler,CMWA
Carolina Wren,CARW
Cedar Waxwing,CEDW
Chestnut-sided Warbler,CSWA
Chimney Swift,CHSW
Chipping Sparrow,CHSP
Common Grackle,COGR
Common Loon,COLO
Common Merganser,COME
Common Raven,CORA
Common Yellowthroat,COYE
Double-crested Cormorant,DCCO
Downy Woodpecker,DOWO
Eastern Kingbird,EAKI
Eastern Phoebe,EAPH
Eastern Wood-Pewee,EAWP
European Starling,EUST
Gadwall,GADW
Golden-crowned Kinglet,GCKI
Gray Catbird,GRCA
Great Black-backed Gull,GBBG
Great Blue Heron,GBHE
Hairy Woodpecker,HAWO
Hermit Thrush,HETH
House Finch,HOFI
Killdeer,KILL
Least Flycatcher,LEFL
Lincoln's Sparrow,LISP
Magnolia Warbler,MAWA
Mallard,MALL
Merlin,MERL
Mourning Dove,MODO
Myrtle Warbler,MYWA
Nashville Warbler,NAWA
Nelson's Sparrow,NESP
Northern Cardinal,NOCA
Northern Harrier,NOHA
Northern Parula,NOPA
Northern Shoveler,NSHO
Osprey,OSPR
Ovenbird,OVEN
Peregrine Falcon,PEFA
Philadelphia Vireo,PHVI
Pied-billed Grebe,PBGR
Pileated Woodpecker,PIWO
Pine Warbler,PIWA
Purple Finch,PUFI
Purple Martin,PUMA
Red-breasted Merganser,RBME
Red-breasted Nuthatch,RBNU
Red-eyed Vireo,REVI
Red-winged Blackbird,RWBL
Ring-necked Duck,RNDU
Ring-necked Pheasant,RNEP
Rock Pigeon,ROPI
Ruby-crowned Kinglet,RCKI
Ruby-throated Hummingbird,RTHU
Ruffed Grouse,RUGR
Savannah Sparrow,SAVS
Scarlet Tanager,SCTA
Slate-colored Junco,SCJU
Song Sparrow,SOSP
Sora,SORA
Swainson's Thrush,SWTH
Swamp Sparrow,SWSP
Tree Swallow,TRES
Turkey Vulture,TUVU
Veery,VEER
Vesper Sparrow,VESP
Virginia Rail,VIRA
White-breasted Nuthatch,WBNU
White-throated Sparrow,WTSP
Wild Turkey,WITU
Willow Flycatcher,WIFL
Wilson's Warbler,WIWA
Winter Wren,WIWR
Wood Duck,WODU
Yellow Warbler,YEWA
Yellow-bellied Sapsucker,YBSA
Yellow-shafted Flicker,YSFL
